reactorPressure,catalyst,support,mass,ratioCat2support,RunName.reactor,ElapsedRunTime,ActualTempBlock,RunName,CatalystID,ratioPromTot2cat,origin,ArgonArea,p1,N2flow120,p2,,,,,flow180,diluentN2flow300,,,,,,,,,,,,,,,,
10,C2,S3,0.0024,9,20150129_OAN_FLOW_016#12#400#10,69.61892192,400.0299988,20150129_OAN_FLOW_016,OAN-DFK00387,0.7,DFK,1954192.333,0,30.02666664,0,,,,,0,640.0000102,,,,,,,,,,,,,,,,
10.01000023,C2,S1,0.0162,5,20150129_OAN_FLOW_016#13#400#10,69.69722494,400,20150129_OAN_FLOW_016,OAN-DFK00425,0.4,DFK,2178966.5,0,29.95833333,0,,,,,0,640.0000102,,,,,,,,,,,,,,,,
10.05000019,C1,S3,0.0174,10,20150129_OAN_FLOW_016#14#400#10,67.85340652,400,20150129_OAN_FLOW_016,OAN-KNP00123,1,KNP,2062102.4,0.3333,30.15800018,0.3333,,,,,0,639.9939941,,,,,,,,,,,,,,,,
10.21000004,C1,S4,0.0149,9,20150129_OAN_FLOW_016#16#400#10,68.01001434,399.9899902,20150129_OAN_FLOW_016,OAN-KNP00143,0.7,KNP,2062057.8,0,29.92999993,0,,,,,0,640.0059937,,,,,,,,,,,,,,,,
10.22999954,C1,S4,0.0126,9,20150129_OAN_FLOW_016#17#400#10,68.08832168,400.0400085,20150129_OAN_FLOW_016,OAN-KNP00147,0.7,KNP,1924501.2,0,29.9699997,0,,,,,0,639.9699951,,,,,,,,,,,,,,,,
9.279999733,C2,S3,0.0609,6.0506,20150129_OAN_FLOW_016#18#400#10,68.16662598,399.980011,20150129_OAN_FLOW_016,OAN-DFK00376,0.5517,DFK,2009528.2,0,29.90800018,1,,,,,0,639.9700073,,,,,,,,,,,,,,,,
10.30000019,C1,S2,0.0184,2,20150129_OAN_FLOW_016#19#400#10,68.24493027,400.019989,20150129_OAN_FLOW_016,OAN-FIS00002,0.9,FIS,1984403.2,0,29.9420002,1,,,,,0,639.9879883,,,,,,,,,,,,,,,,
10.22000027,C2,S3,0.0193,5,20150129_OAN_FLOW_016#21#400#10,68.40153885,400.0100098,20150129_OAN_FLOW_016,OAN-DFK00382,0.7,DFK,2150254.8,0,30.05,0,,,,,0,639.9819946,,,,,,,,,,,,,,,,
10.34000015,C1,S3,0.0256,9,20150129_OAN_FLOW_016#22#400#10,68.47984085,399.980011,20150129_OAN_FLOW_016,OAN-KNP00119,0.4,KNP,1876554.6,0,30.07000008,0,,,,,0,639.9819946,,,,,,,,,,,,,,,,
10.07999992,C1,S3,0.0101,9,20150129_OAN_FLOW_016#23#400#10,68.55814667,399.9700012,20150129_OAN_FLOW_016,OAN-KNP00118,0.4,KNP,1865475.8,0,30.08999939,0,,,,,0,639.9819946,,,,,,,,,,,,,,,,
10.10000038,C1,S4,0.0197,9,20150129_OAN_FLOW_016#24#400#10,68.63644943,400,20150129_OAN_FLOW_016,OAN-KNP00141,0.4,KNP,2095679.2,0,29.97000007,0,,,,,0,639.9820068,,,,,,,,,,,,,,,,
10.27000046,C1,S1,0.0174,9,20150129_OAN_FLOW_016#25#400#10,68.71475601,399.980011,20150129_OAN_FLOW_016,OAN-KNP00168,0.4,KNP,2165618.6,0,30.03199997,0,,,,,0,639.9880005,,,,,,,,,,,,,,,,
10.10000038,C1,S3,0.0284,9,20150129_OAN_FLOW_016#26#400#10,68.79306183,399.9899902,20150129_OAN_FLOW_016,OAN-KNP00117,0.4,KNP,1973544.6,0,29.9579998,0,,,,,0,639.9940063,,,,,,,,,,,,,,,,
10.27999973,C1,S4,0.0104,9,20150129_OAN_FLOW_016#27#400#10,68.87136612,399.980011,20150129_OAN_FLOW_016,OAN-KNP00142,0.7,KNP,1960254,0,30.00600014,0,,,,,0,639.9639892,,,,,,,,,,,,,,,,
10.44999981,C2,S1,0.0394,6.0506,20150129_OAN_FLOW_016#28#400#10,68.94966965,399.9700012,20150129_OAN_FLOW_016,OAN-DFK00420,0.5517,DFK,1981387.6,0,30.02400017,0,,,,,0,640.0120117,,,,,,,,,,,,,,,,
10.02000046,C2,S3,0.0025,10,20150129_OAN_FLOW_016#29#400#10,69.0279747,400.019989,20150129_OAN_FLOW_016,OAN-DFK00371,0.1,DFK,2145222.6,0.5,30.06199989,0,,,,,0,639.9939941,,,,,,,,,,,,,,,,
10.72000027,C1,S3,0.0364,8.2336,20150129_OAN_FLOW_016#30#400#10,69.10627899,400,20150129_OAN_FLOW_016,OAN-KNP00108,0.633,KNP,1640017.6,0,29.98199959,0,,,,,0,640,,,,,,,,,,,,,,,,
10.36999989,C2,S1,0.0164,9,20150129_OAN_FLOW_016#31#400#10,69.18458557,400,20150129_OAN_FLOW_016,OAN-DFK00427,0.7,DFK,2028844.8,0,29.97599983,0,,,,,0,639.9940063,,,,,,,,,,,,,,,,
9.949999809,C2,S1,0.0158,9,20150129_OAN_FLOW_016#32#400#10,69.26288834,399.9599915,20150129_OAN_FLOW_016,OAN-DFK00429,0.4,DFK,2196487.8,0,30.11800003,0,,,,,0,639.9880005,,,,,,,,,,,,,,,,
10.35000038,C2,S3,0.0093,9,20150129_OAN_FLOW_016#33#400#10,69.34119415,399.9899902,20150129_OAN_FLOW_016,OAN-DFK00389,0.4,DFK,2100740.4,0,30.06199989,0,,,,,0,639.9759888,,,,,,,,,,,,,,,,
